epoch,step,train_loss_epoch,val_loss_epoch,val_loss_step
,0,,,0.5037829279899597
0,1,,0.5037829279899597,
0,1,0.7441596388816833,,
,1,,,0.2583540081977844
1,3,,0.2583540081977844,
1,3,0.4787464439868927,,
,2,,,0.23776933550834656
2,5,,0.23776932060718536,
2,5,0.24371007084846497,,
,3,,,0.16588148474693298
3,7,,0.16588148474693298,
3,7,0.2575536072254181,,
,4,,,0.13562731444835663
4,9,,0.13562731444835663,
4,9,0.16905632615089417,,
,5,,,0.16555611789226532
5,11,,0.16555611789226532,
5,11,0.1373254507780075,,
,6,,,0.09618568420410156
6,13,,0.09618568420410156,
6,13,0.15610188245773315,,
,7,,,0.10565459728240967
7,15,,0.10565459728240967,
7,15,0.1043655052781105,,
,8,,,0.10592570155858994
8,17,,0.10592570155858994,
8,17,0.12415021657943726,,
,9,,,0.07199352234601974
9,19,,0.07199352234601974,
9,19,0.10996311902999878,,
,10,,,0.08088916540145874
10,21,,0.08088916540145874,
10,21,0.09236481040716171,,
,11,,,0.06825336813926697
11,23,,0.06825336813926697,
11,23,0.09262799471616745,,
,12,,,0.10482244193553925
12,25,,0.10482243448495865,
12,25,0.06980427354574203,,
,13,,,0.08209866285324097
13,27,,0.08209866285324097,
13,27,0.09841121733188629,,
,14,,,0.05996985733509064
14,29,,0.05996985733509064,
14,29,0.07989330589771271,,
,15,,,0.05557061731815338
15,31,,0.05557061731815338,
15,31,0.08246172964572906,,
,16,,,0.08279632776975632
16,33,,0.08279632776975632,
16,33,0.07311666011810303,,
,17,,,0.11336259543895721
17,35,,0.11336258798837662,
17,35,0.06500666588544846,,
,18,,,0.05906326696276665
18,37,,0.05906326696276665,
18,37,0.07320181280374527,,
,19,,,0.06042990833520889
19,39,,0.06042991206049919,
19,39,0.06975974142551422,,
