epoch,step,train/loss_epoch,train/loss_step,val/loss
0,49,,0.0005030540633015335,
0,99,,0.00033283690572716296,
0,149,,0.0003850538923870772,
0,154,,,0.00037412348319776356
0,154,0.000466436700662598,,
1,199,,0.00038661627331748605,
1,249,,0.00044782215263694525,
1,299,,0.0002555703395046294,
1,309,,,0.0003710636228788644
1,309,0.00044200042611919343,,
2,349,,0.00034538432373665273,
2,399,,0.0003553190908860415,
2,449,,0.0004949157009832561,
2,464,,,0.00036116200499236584
2,464,0.0004371935501694679,,
3,499,,0.0003080819151364267,
3,549,,0.00041981905815191567,
3,599,,0.0005255663418211043,
3,619,,,0.00036942100268788636
3,619,0.0004341764433775097,,
4,649,,0.000451050786068663,
4,699,,0.000324270804412663,
4,749,,0.00047246291069313884,
4,774,,,0.00036074084346182644
4,774,0.00043269371963106096,,
5,799,,0.0004182170669082552,
5,849,,0.00041701324516907334,
5,899,,0.000559469684958458,
5,929,,,0.0003578733012545854
5,929,0.00043107036617584527,,
6,949,,0.0005079568363726139,
6,999,,0.00038470691652037203,
6,1049,,0.0007234078948386014,
6,1084,,,0.000365451502148062
6,1084,0.0004287135961931199,,
7,1099,,0.0005032254848629236,
7,1149,,0.0002984454913530499,
7,1199,,0.0005684570060111582,
7,1239,,,0.0003683639515656978
7,1239,0.00042878786916844547,,
8,1249,,0.0005297409370541573,
8,1299,,0.0003271715540904552,
8,1349,,0.0003910538798663765,
8,1394,,,0.00035867030965164304
8,1394,0.0004300122964195907,,
9,1399,,0.000416324648540467,
9,1449,,0.0003364562871865928,
9,1499,,0.00027279320056550205,
9,1549,,9.452013910049573e-05,
9,1549,,,0.00036218116292729974
9,1549,0.00042722950456663966,,
10,1599,,0.00043467068462632596,
10,1649,,0.00022472336422652006,
10,1699,,0.0004348353249952197,
10,1704,,,0.0003526186919771135
10,1704,0.0004263589216861874,,
11,1749,,0.00021980486053507775,
11,1799,,0.0003951926773879677,
11,1849,,0.0003152443969156593,
11,1859,,,0.0003538702439982444
11,1859,0.000424568192102015,,
12,1899,,0.0003017025883309543,
12,1949,,0.0002785678952932358,
12,1999,,0.0003935334680136293,
12,2014,,,0.0003601554490160197
12,2014,0.0004250923520885408,,
13,2049,,0.00024422723799943924,
13,2099,,0.00037271156907081604,
13,2149,,0.00033217642339877784,
13,2169,,,0.0003573758585844189
13,2169,0.0004278130945749581,,
14,2199,,0.000679447955917567,
14,2249,,0.00029283249750733376,
14,2299,,0.0004947445704601705,
14,2324,,,0.0003535830765031278
14,2324,0.00042461612611077726,,
15,2349,,0.0003704986593220383,
15,2399,,0.0005702986964024603,
15,2449,,0.0004006664967164397,
15,2479,,,0.00035884376848116517
15,2479,0.00042503056465648115,,
16,2499,,0.00026787715614773333,
16,2549,,0.0004112409078516066,
16,2599,,0.0004404708743095398,
16,2634,,,0.00035995515645481646
16,2634,0.00042349862633273005,,
17,2649,,0.00048524848534725606,
17,2699,,0.0004631369956769049,
17,2749,,0.00033277549664489925,
17,2789,,,0.00035617529647424817
17,2789,0.0004241338756401092,,
18,2799,,0.0004287495103199035,
18,2849,,0.00044920461368747056,
18,2899,,0.0003251636808272451,
18,2944,,,0.0003590421110857278
18,2944,0.0004213647043798119,,
19,2949,,0.00035067222779616714,
19,2999,,0.000493881874717772,
19,3049,,0.0005237979930825531,
19,3099,,0.00023468674044124782,
19,3099,,,0.00036339423968456686
19,3099,0.00042058396502397954,,
