epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,0.1858064830303192
0,1,,,0.18580646812915802,
0,1,0.6732083559036255,,,
,1,,,,0.35271281003952026
1,3,,,0.3527127802371979,
1,3,0.21393604576587677,,,
,2,,,,0.18658296763896942
2,5,,,0.18658296763896942,
2,5,0.24627016484737396,,,
,3,,,,0.18444320559501648
3,7,,,0.18444319069385529,
3,7,0.15535858273506165,,,
,4,,,,0.17915871739387512
4,9,,,0.17915873229503632,
4,9,0.14101465046405792,,,
,5,,,,0.2087368369102478
5,11,,,0.2087368369102478,
5,11,0.14351817965507507,,,
,6,,,,0.22291028499603271
6,13,,,0.22291028499603271,
6,13,0.12538368999958038,,,
,7,,,,0.19442860782146454
7,15,,,0.19442860782146454,
7,15,0.14014893770217896,,,
,8,,,,0.16941943764686584
8,17,,,0.16941945254802704,
8,17,0.12014169991016388,,,
,9,,,,0.16008895635604858
9,19,,,0.16008895635604858,
9,19,0.10334146022796631,,,
,10,,,,0.14138975739479065
10,21,,,0.14138975739479065,
10,21,0.12227089703083038,,,
,11,,,,0.13450099527835846
11,23,,,0.13450099527835846,
11,23,0.11013936996459961,,,
,12,,,,0.13993704319000244
12,25,,,0.13993704319000244,
12,25,0.10262066125869751,,,
,13,,,,0.16347011923789978
13,27,,,0.16347011923789978,
13,27,0.10150391608476639,,,
,14,,,,0.15934549272060394
14,29,,,0.15934549272060394,
14,29,0.09835609048604965,,,
,15,,,,0.13852831721305847
15,31,,,0.13852831721305847,
15,31,0.0921800509095192,,,
,16,,,,0.1275373101234436
16,33,,,0.1275373101234436,
16,33,0.08645763993263245,,,
,17,,,,0.13110962510108948
17,35,,,0.13110962510108948,
17,35,0.08432897180318832,,,
,18,,,,0.1400265097618103
18,37,,,0.1400265097618103,
18,37,0.08447440713644028,,,
,19,,,,0.1479240357875824
19,39,,,0.1479240357875824,
19,39,0.07709153741598129,,,
,20,,,,0.13831156492233276
20,41,,,0.13831156492233276,
20,41,0.07685290277004242,,,
,21,,,,0.11552424728870392
21,43,,,0.11552425473928452,
21,43,0.07924427837133408,,,
,22,,,,0.12366637587547302
22,45,,,0.12366637587547302,
22,45,0.08509209752082825,,,
,23,,,,0.1377268135547638
23,47,,,0.1377268135547638,
23,47,0.07614624500274658,,,
24,49,,0.08047088980674744,,
,24,,,,0.1691056489944458
24,49,,,0.1691056489944458,
24,49,0.07921358942985535,,,
,25,,,,0.15865148603916168
25,51,,,0.15865148603916168,
25,51,0.0854673758149147,,,
,26,,,,0.11416955292224884
26,53,,,0.11416956037282944,
26,53,0.0721689760684967,,,
,27,,,,0.09813271462917328
27,55,,,0.09813270717859268,
27,55,0.0697421133518219,,,
,28,,,,0.0992327332496643
28,57,,,0.0992327332496643,
28,57,0.07946723699569702,,,
,29,,,,0.12452855706214905
29,59,,,0.12452855706214905,
29,59,0.07010816782712936,,,
,30,,,,0.15291756391525269
30,61,,,0.15291756391525269,
30,61,0.06951089948415756,,,
,31,,,,0.15277615189552307
31,63,,,0.15277615189552307,
31,63,0.07302411645650864,,,
,32,,,,0.12228348106145859
32,65,,,0.12228348106145859,
32,65,0.07028158009052277,,,
,33,,,,0.11739584058523178
33,67,,,0.11739584058523178,
33,67,0.06420892477035522,,,
,34,,,,0.08390974998474121
34,69,,,0.08390974998474121,
34,69,0.07294926047325134,,,
,35,,,,0.0940510481595993
35,71,,,0.09405104070901871,
35,71,0.07367511838674545,,,
,36,,,,0.10017647594213486
36,73,,,0.10017647594213486,
36,73,0.06907358765602112,,,
,37,,,,0.1354222148656845
37,75,,,0.1354222148656845,
37,75,0.06195114925503731,,,
,38,,,,0.12315671145915985
38,77,,,0.12315670400857925,
38,77,0.06648260354995728,,,
,39,,,,0.09901301562786102
39,79,,,0.09901300817728043,
39,79,0.07750764489173889,,,
